,Accession,Submitters,Species,Segment,Geo_Location,Isolation_Source,Collection_Date,date,dayofyear,week,lat,long,lengthofday
90,ON123593,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-09-07,2021-09-07,250.0,36,-6.8699697,-75.0458515,12.714752936058465
91,ON123594,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-05-20,2021-05-20,140.0,20,-6.8699697,-75.0458515,12.526386448353993
92,ON123595,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-19,2021-08-19,231.0,33,-6.8699697,-75.0458515,12.615697714930652
93,ON123596,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-20,2021-08-20,232.0,33,-6.8699697,-75.0458515,12.620329716975379
94,ON123597,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-23,2021-08-23,235.0,34,-6.8699697,-75.0458515,12.63463164988868
95,ON123598,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-27,2021-08-27,239.0,34,-6.8699697,-75.0458515,12.654626560727479
96,ON123599,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-28,2021-08-28,240.0,34,-6.8699697,-75.0458515,12.659786578010436
97,ON123600,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-30,2021-08-30,242.0,35,-6.8699697,-75.0458515,12.67029573176815
98,ON123601,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-09-08,2021-09-08,251.0,36,-6.8699697,-75.0458515,12.720570182128583
99,ON123602,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-09-17,2021-09-17,260.0,37,-6.8699697,-75.0458515,12.775298104899568
100,ON123603,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-09-17,2021-09-17,260.0,37,-6.8699697,-75.0458515,12.775298104899568
